Date,Total Screen Time,Weekdays (1: Weekdays; 0: Weekend),Exam Week (1: Yes; 0: No),Reading Week (1: Yes; 0: No),Assignment
09/01/2025,752,1,0,0,0
09/02/2025,202,1,0,0,0
09/03/2025,553,1,0,0,0
09/04/2025,672,1,0,0,0
09/05/2025,864,1,0,0,0
09/06/2025,402,0,0,0,0
09/07/2025,389,0,0,0,0
09/08/2025,375,1,0,0,0
09/09/2025,606,1,0,0,0
09/10/2025,633,1,0,0,0
09/11/2025,731,1,0,0,0
09/12/2025,863,1,0,0,0
09/13/2025,491,0,0,0,0
09/14/2025,387,0,0,0,0
09/15/2025,571,1,0,0,0
09/16/2025,719,1,0,0,1
09/17/2025,616,1,0,0,1
09/18/2025,893,1,0,0,1
09/19/2025,840,1,0,0,1
09/20/2025,541,0,0,0,0
09/21/2025,367,0,0,0,0
09/22/2025,775,1,0,0,0
09/23/2025,685,1,0,0,0
09/24/2025,788,1,0,0,0
09/25/2025,780,1,0,0,0
09/26/2025,957,1,0,0,0
09/27/2025,589,0,0,0,0
09/28/2025,706,0,0,0,1
09/29/2025,889,1,0,0,1
09/30/2025,825,1,0,0,1
10/01/2025,780,1,0,0,1
10/02/2025,892,1,0,0,1
10/03/2025,840,1,0,0,1
10/04/2025,507,0,0,0,0
10/05/2025,363,0,0,0,0
10/06/2025,535,1,1,0,0
10/07/2025,801,1,1,0,0
10/08/2025,781,1,1,0,0
10/09/2025,837,1,1,0,1
10/10/2025,943,1,1,0,1
10/11/2025,415,0,0,1,0
10/12/2025,493,0,0,1,0
10/13/2025,555,1,0,1,0
10/14/2025,173,1,0,1,0
10/15/2025,804,1,0,1,0
10/16/2025,226,1,0,1,0
10/17/2025,750,1,1,1,1
10/18/2025,893,0,1,1,1
10/19/2025,937,0,1,1,1
10/20/2025,1125,1,1,0,1
10/21/2025,808,1,1,0,1
10/22/2025,972,1,1,0,1
10/23/2025,1025,1,1,0,1
10/24/2025,1310,1,1,0,1
10/25/2025,511,0,0,0,0
10/26/2025,489,0,0,0,0
10/27/2025,649,1,0,0,0
10/28/2025,930,1,0,0,1
10/29/2025,1024,1,0,0,1
10/30/2025,1012,1,0,0,1
10/31/2025,1097,1,0,0,1
11/01/2025,502,0,0,0,0
11/02/2025,392,0,0,0,0
11/03/2025,945,1,0,0,1
11/04/2025,968,1,0,0,1
11/05/2025,1136,1,0,0,1
11/06/2025,605,1,0,0,0
11/07/2025,720,1,0,0,0
11/08/2025,569,0,0,0,0
11/09/2025,405,0,0,0,0
11/10/2025,659,1,0,0,0
11/11/2025,556,1,0,0,1
11/12/2025,907,1,0,0,1
11/13/2025,981,1,0,0,1
11/14/2025,1122,1,0,0,1
11/15/2025,1221,0,0,0,1
11/16/2025,1127,0,0,0,1
11/17/2025,582,1,0,0,0
11/18/2025,599,1,0,0,0
11/19/2025,605,1,0,0,0
11/20/2025,577,1,0,0,0
11/21/2025,672,1,0,0,0
11/22/2025,493,0,0,0,0
11/23/2025,414,0,0,0,0
